content,title,region,desc,category
"A drugs gang has been jailed by Jersey's Royal Court in connection with what police described as the largest ever seizure of cocaine in the island.William Prentice, 37 of Jersey, Alan Hudson, 40, Mark Hutchison, 29, and Christopher Whitelaw, 33, of Glasgow, admitted planning to import the drug.Prentice, Hudson and Whitelaw were all given an eight-year term with Hutchinson sentenced to five years.The drug, with a street value of more than £150,000, was seized in June 2009.Seemed suspiciousThe court heard the group tried to import the drug in a van through a port in Jersey.Customs officers initially did not find anything but told the court the van seemed suspicious.The van was put under surveillance and the following day police found the cocaine hidden in the vehicle's chassis.Det Insp Mark Hafey, of the States of Jersey Police, said: ""This case involved painstaking and difficult detective work undertaken by the police in unravelling this particularly intricate and sophisticated conspiracy.""",Jersey drug gang given prison term for cocaine plot,Jersey,A drugs gang is jailed for plotting to import more than 2kg of cocaine into Jersey.,BBC News
"A chance glance at an advertisement in a job centre in the Czech Republic sent artist Tibor Cervenak on a journey that would change his life.He answered the call for cleaners  in October 2004 when his country joined the European Union and he could work abroad.He ended up in Belfast on 12-hour shifts with a cleaning company. From there, he drove taxis, doing ""crazy hours"" across the city.But he had his dream. He was always painting pictures in his head.And when this abstract artist got a chance to exhibit his work, he sold the lot - all 25 paintings - in 10 days and forged a name for himself that helped put the taxi keys at the back of the shelf.Now, Tibor Cervenak is about to open a studio on Belfast's Lisburn Road and next year, he will be travelling to New York to fulfil a lifelong ambition to exhibit there.""I was among the first group to come to Belfast after my country joined the EU,"" said Tibor.""I found an ad from a cleaning company and I saw the opportunity.""""When I first arrived, it was very difficult. This was a different world. I saw that it could be very aggressive and yet the people were so friendly. I was very confused. I was shocked at the stories on the news. So I just stopped watching it.""The early days were spent working 12-hours shifts, night and day, and living in one room in a house shared with other immigrants in the university area.But he had his painting. From the age of nine, he had developed a passion for painting and by his early 20s, he had exhibited in Europe and appeared in a documentary on Czech television.""I don't paint the subject. I work with the canvas as a composer,"" he explained.His dream was to open his own gallery and he worked as a taxi driver to fund that dream.A visit to Amsterdam where he saw the open artist studios, convinced him that this was his ideal. The Tibor Studio was to follow. Exhibitions at the Emer Gallery and the Safehouse in Belfast helped make his name.Ten months after he arrived,  his wife and two children joined him in the city they now call home.""When I came to Belfast, the city seemed to be changed... growing something new. I really felt that and saw that. That's why I'm staying here,"" he said.Tibor believes people in Belfast underestimate themselves. Some said there wouldn't be an interest in abstract art, but he has found that people like his work.His visit to New York is at the invitation of the Flushing Council on Culture and the Arts (FCCA).The NI Arts Council is supporting him and he will spend three months in the city next spring.""It's an opportunity I am grabbing with both hands,"" he said.""When I was driving people around in my car, I understood they were hungry for what is new.""Timor Cervenak is keen to feed that hunger.",Czech abstract artist sees Belfast dream come true,Northern Ireland,The abstract artist making his dreams come true in Belfast and New York,BBC News
"For many Americans, the young Ms Clinton who married her long-time beau Marc Mezvinsky on Saturday is in no need of her famous surname. She's just Chelsea.To her doting father, she's always been the centre of the universe. She ordered him to lose 15 pounds (7kg) before walking her down the aisle, and he unquestioningly complied. Before the event, the former president told another first daughter, Jenna Bush, that he would be both proud and wistful at the wedding, thinking about the day Chelsea was born and her first day of school.""I just hope I can keep it together,"" he said. For the equally adoring MOTB - that's Mother of The Bride, in case you didn't realise, and it's the acronym the Secretary of State has adopted - dress fittings and cake tastings have taken priority on a calendar that included meetings on Mid-East peace. But to the American public, Chelsea is the girl that grew up before their eyes, and they want a piece of the action. Ever since she appeared on the White House steps in 1993 as a typically gawky 12-year-old, Americans have eagerly dissected every small tidbit that managed to slip through her parentally constructed media shield.  Whether she likes it or not, the publicity-shy only child is a household name. Carl Anthony, an author and historian at the National First Ladies Library, says that Americans have been interested in Chelsea's wedding because she is part of the national narrative. ""It's a reflection of ourselves I think. It's this sense of a public event and these public people that we have sense of familiarity with,"" Mr Anthony says.""In Europe with its history of royal families, you've always had this. You've had national stories or national narratives."" For Americans, the Clintons fulfil that role.A wedding is a turning point in a universally recognised life narrative, which is why Chelsea's nuptials have garnered more attention than her graduations from Stanford and Oxford or her post 9/11 essay in Talk magazine. Chelsea's wedding has generated more interest than, for example, Jenna Bush's wedding in 2008, because she became part of the country's history at such a young age.Moreover, the Clintons are icons of a different, seemingly more youthful time in America's history - a pre 9/11 era when the country wasn't weighed down with wars, bulging deficits and billowing oil leaks. Chelsea is a reminder of that time, and people feel invested in the life of that young girl who held her parents hands through their darkest personal days. But, as Mr Anthony points out, despite her familiarity, people don't really know her. ""It's been 10 years since the Clintons left the White House and she's not in any way chosen or indicated a preference for a high-visibility public role. She's a grad school student,"" he told the BBC. ""It's not about her, it's about her parents.""And therein lies the problem with Chelsea's desire for nuptial privacy. The Clintons and their personal lives have long been magnets for the media, and despite their efforts, details of the wedding set the blogosphere alight.The 400 invitees were hosted at an estate in the Hudson River town of Rhinebeck, New York. Rumours have abounded that the cost of the wedding was between $3m and $5m (£1.9m - £3.2m).Aerial photographs which showed a large marquee being erected on the property of the Astor Courts Estate  made their way onto gossip blogs.That of course raised the inevitable question: where would guests relieve themselves? Apparently in classy porcelain portaloos, which cost around $15,000 to rent. One New York website called the loos ""nicer than your apartment"". For months, style watchers presumed that Chelsea would wear one of her mother's favourite designers, Oscar de la Renta. But this week she was snapped entering a Vera Wang store in Manhattan, attempting to hide her face under an oversized floppy hat - and she wore a strapless white gown by the designer on the day.The airspace over Rhinebeck was declared a ""no-fly zone"" on the afternoon of the wedding, further hampering the pesky paparazzi's ability to get that coveted shot.But mostly, the wedding details were overshadowed by debates over the guest list - specifically which of Bill and Hillary's celebrity pals would make the cut.President Obama ended speculation that he would attend by telling the ladies of US talk show The View that he didn't receive an invitation.Famous friends like Oprah Winfrey or Barbra Streisand were reported to be among those attending, but the Clintons had carefully clarified that each of the 400 guests must have a personal connection to the bride and groom.In typical Washington fashion, that sensible decree did not prevent griping from political contacts hoping that campaign generosity also buys a ticket to the A-list. ""I'm good enough to borrow a plane from, but not good enough to be invited to the wedding?"" an anonymous political donor grumbled to the New York Times. It's a quintessentially Washington mindset that conflates social and political power, access to which can often be bought.That's a world that Chelsea has rejected. The politics of her wedding are the politics of any wedding writ large.In the run-up, Chelsea had to grapple with questions that most brides do: how many people does the bride's family get to invite? What about the groom? How do I choose bridesmaids without causing hurt feelings? How big a secret do I keep the dress? But when your parents are Bill and Hillary Clinton those questions take on a new level of meaning. Chelsea didn't have a choice about that, or how many details of the wedding leaked. But these days, one thing she has control over is what people know about her.""What we perceive as secrecy about the wedding is really just privacy,"" Mr Anthony says. ""We forget that we don't know Chelsea. We think we do, but we don't.""",America's royal wedding,US & Canada,"Chelsea Clinton has spent a decade avoiding the media, but that hasn't stopped the American public clamouring for details of her wedding.",BBC News
"HSBC says bad debts on its books are at their lowest level for two years, with its troubled US operation making profits for the first time since 2007.Europe's largest bank also said that underlying pre-tax profits for the first quarter of 2010 were ""comfortably ahead"" of the last quarter of 2009.The bank said that although economic ""strains"" persisted in Europe, recovery in Asian markets ""looks secure"".HSBC's shares were the FTSE 100's biggest riser, trading up 5% at 660p.The bank does not issue full quarterly profits, so the quarterly trading updates are closely watched.HSBC said the finances of its personal and corporate customers were improving, meaning bad debt costs were at their lowest quarterly level for more than two years.Chief executive Michael Geoghegan said: ""Although we remain alert to the impact of strains being seen in Europe, the emerging market trends are developing well.""It is good to be able to report a pre-tax profit in the US in the first quarter - the first quarterly profit since 2007. ""It is too soon to declare victory, but the improvement in the quarter is testament to the actions of our management team since we identified the problems in the US consumer finance market.""Pre-tax profits in Hong Kong and the Asia Pacific region were ""encouragingly higher"" in the three months to March, compared with the same quarter last year, he said.",HSBC: Bad debts fall as US operation returns to profit,Business,"HSBC says bad debts on its books are at their lowest for two years, with its US operation making its first profits since 2007.",BBC News
"A British play about the collapse of Enron is to close on Broadway after just 15 performances and 22 previews.It is thought the show, which is ending on Sunday, is folding with a loss of up to $4m (£2.6m). Lucy Prebble's production premiered at the Chichester Festival Theatre last year to good reviews, before later moving to the West End.But when it opened in New York last month, the critics were unenthusiastic.It failed to receive any nods in the main categories such as best play.Despite positive reviews in the UK, the US critics did not share in their praise of the production, which was shown at the Broadhurst Theater.Ben Brantley of The New York Times called it a ""flashy but laboured economics lesson"". ",Enron play to close on Broadway,Entertainment & Arts,A British play about the collapse of Enron is to close on Broadway after just 15 performances and 22 previews.,BBC News
"Spain's economy emerged from recession after growing by 0.1% in the first three months of 2010, the country's central bank has said. The growth ended six successive quarters of contraction.Earlier this week, official figures showed Spain's jobless rate had hit 20% for the first time in nearly 13 years.Earlier this week, credit ratings agency Standard &amp; Poor's downgraded Spanish government debt over fears for the country's economic outlook.The Spanish economy shrank by 3.6% in 2009.",Spain's economy edges out of recession,Business,"Spain's economy emerged from recession after growing by 0.1% in the first three months of 2010, the country's central bank says.",BBC News
"The first part of a £750m campus expansion at the University of York has opened to students.The Heslington East development has new accommodation for the Computer Science, Theatre, Film and Television, and Law and Management departments.The university said the extension could result in a 50% increase in student numbers to about 16,000 and create up to 2,000 new jobs. The campus was approved by the government and city council.Hundreds of residents had objected to the proposal, citing possible impacts on roads, crime, noise and pollution.The university's vice-chancellor, Professor Brian Cantor, said: ""The campus expansion will enhance the student experience and contribute socially and culturally to the community.""The second phase of the development will include student accommodation, academic buildings and a sports village with a community swimming pool and all-weather sports pitches.""Kersten England, chief executive of the City of York Council, said: ""The University of York is rightly regarded as one of the best universities in the world and the new campus developments will ensure that it can further develop its reputation for excellence.""",York university's £750m campus expansion opens,York & North Yorkshire,The first part of a £750m expansion of the campus at the University of York opens to students.,BBC News
"London universities are under pressure from students and community groups to support a campaign to pay cleaners a ""living wage"".Six universities in the capital now back a living wage of £7.60 per hour.King's College is set for talks with campaigners next week - while University College London says it has ""no plans"" to adopt the living wage.Students say the gap between high-paid university bosses and low-paid cleaners is ""shocking"".A cleaner on the minimum wage of £5.80, working 40-hours a week, 52 weeks a year, would have to work more than 33 years to earn the annual pay package of the provost of University College London.The University of London Union and London Citizens are campaigning for the living wage of £7.60 per hour to be paid to cleaners in universities in the capital.They say that the living wage is the threshold that is needed to survive in an expensive city such as London - and is higher than the legal minimum.It has been adopted by the London School of Economics, Birkbeck, the School of Oriental and African Studies, the London School of Hygiene and Tropical Medicine and Queen Mary.Goldsmiths says it is introducing the living wage when it renews its cleaning contract.King's College says it is about to hold an ""initial meeting"" with the students and representatives of London Citizens.But University College London says it has ""no plans to join the London Living Wage Campaign"".It says it pays its own directly-employed staff above the living wage, but this does not apply to cleaners who are hired through another company.""UCL considers itself a fair employer and benchmarks its rates of pay and conditions of employment against competitor organisations, in relation to which they are attractive,"" says the university.The university's president and provost, Malcolm Grant, is among the best paid university leaders in the UK.UCL says he was paid £303,492 in 2008-09 - with pension and benefits the total was £404,742.Students have contrasted the high levels of pay for the senior staff in universities with a reluctance to pay more for low-paid staff.A report earlier this year found that 19 university heads were earning more than £300,000.""For publicly-funded organisations there is an additional responsibility to have some kind of conscience,"" says ULU's vice president, Mazdak Alizadeh.""There is a clear parallel between high pay at the top and low pay at the bottom.""Those at the bottom should have enough to get by and not to have to live and work in poverty,"" he said.Describing the pay gap as ""shocking"", he said: ""It can't be justified to pay so much at the top when people who work for you are struggling to feed their families.""The living wage campaigners say that low pay condemns workers to a grinding life of poverty, many having to do two or three jobs, with limited time to see their own families.An election event organised by the Citizens UK community group - and promoters of the living wage - was addressed on Monday by leaders of the three biggest political parties.They heard the testimony of 14-year-old Tiari Sanchez who described the difficulties of a family trying to survive on her mother's income as a cleaner.She broke down in tears and was comforted by Labour leader Gordon Brown as she described the lack of money for the basics of food and travel.Her mother, who worked as a cleaner at the Treasury, had to leave home at 3.30am because she could not afford to travel there by tube.""If they were paying a living wage, my mum could afford the tube and I would see her for three hours more every day,"" she told the meeting.",Universities under pressure to pay living wage,Education & Family,"London universities are under pressure to support a campaign to pay their cleaners a ""living wage"".",BBC News
"Static and crackle, squawk boxes and coarse tones were the soundtrack to dealings in currencies and government bonds. But which way to trade? For weeks, the traders here have been betting on a Conservative victory. But the movements on the screens - tentative and nervous - initially mirrored the voters' lack of direction.Investors hate uncertainty, and these people are worried that a hung parliament will mean a government unwilling to make tough choices and upset an electorate that barely wanted it.Mainly, they fear that a weak government will be unable to force through measures to reduce the UK's high borrowing levels.As the morning wore on, traders took the view that such an outcome was likely. The interest rate that their market charges for UK government bonds - gilts - went up, while the lack of confidence took the pound down to a one-year low against the dollar.Piling on the pressure, the guidance from elsewhere for Friday's business was shaky in the extreme. Seismic downwards movements on the US markets -  virtually unseen in living memory - gave no strong lead to follow. Many think the 9% plunge the Dow Jones reached in Thursday's session was a slip of the finger, rather than a sign the market had glimpsed the apocalypse.And underpinning it all, as usual, was the theme of Greek debt woes and the knock-on fear of a euro break-up.European leaders are trying to agree the final details of of a 110bn-euro ($139bn; £86bn) loan package to Greece.On Friday, the cost of Greek and Portuguese government debt continued to rise, suggesting that investors remain unconvinced by the proposed rescue plan.In London, traders in currencies and bonds began their day at 0100 in a special trading session they hoped would let them steal a march on the election result. With far more to worry about than domestic concerns this morning, they were greeted by an uncertain sky, tending to the grey - as apt a description of the outlook for the financial climate as it is for the weather. ",The scene from the post-election trading floor,Business,Uncertainty over just who will be leading the country means plenty of guess-work for the financial markets on the morning after.,BBC News
"American tycoon Donald Trump is to receive an honorary degree from Aberdeen's Robert Gordon University.Mr Trump has divided opinion after vowing to build the ""world's greatest golf course"" at Menie in Aberdeenshire.RGU said he would be presented with the honorary award of Doctor of Business Administration on Friday 8 October.The university said the honour recognised Mr Trump's ""business acumen"" and the future his company is planning in the north east of Scotland.The Trump Organisation said it was a ""tremendous honour"" for Mr Trump.However, the Tripping Up Trump campaign group said in a statement: ""The only award Donald Trump is worthy of is an Asbo for his destructive, threatening and intimidating behaviour at Menie.""Work on Mr Trump's controversial golf course got under way earlier this year.The billionaire believes the total cost of the project is likely to be about £750m.Some local people have refused to sell him their properties.",Donald Trump to receive honorary degree in Aberdeen,"NE Scotland, Orkney & Shetland",American tycoon Donald Trump is to receive an honorary degree from Aberdeen's Robert Gordon University.,BBC News
"A Stirling man who admitted stealing a rare book and then spent nearly two years on the run has disappeared again.Sean Cowie, 25, admitted stealing a rare first edition of the poems of TS Eliot and selling it for £4,000 at a court appearance on 29 January 2009.Cowie was facing a possible jail term and disappeared for 20 months.He was granted bail for a second time on 27 August and was due to appear for sentencing at Stirling Sheriff Court, but did not turn up.Commenting on the case Scottish Conservative justice spokesman, Bill Aitken, said: ""On the basis of this man's disappearance, it is absolutely astounding he was granted bail on the second occasion.""There quite clearly was a very high risk of him absconding again, and I am at a loss as to why he was granted bail.""It is clear he has disappeared into the wide blue yonder. It will take time and money to track him down again.""",Rare book thief absconds for second time,Tayside and Central Scotland,A 25-year-old Stirling man who went on the run for 20 months after stealing a rare book of TS Eliot poems absconds again.,BBC News
"Residents whose village was reclassified as a town have begun a campaign to regain its former status.People in Hawkhurst fear the changes under planning law makes the former village an easy target for developers.Under the changes, the old centre known as The Moor retains its village status but the other half known as Highgate has been classified as a town.Tunbridge Wells Borough Council said it was important to classify areas to inform its planning strategy.The local authority said the proposal was first put forward in 2006 and adopted in its core strategy in June.Mike Appleby, who sits on the parish council, said Hawkhurst, with a population of about 4,000 people, should regain its village status.He said: ""I think if you are going to split a settlement in two, it should be highlighted and not just slipped into a document so that people miss it.""",Ex-Hawkhurst villagers resent town status,Kent,Residents of a small Kent town begin a campaign to regain their former village status.,BBC News
"Global stock markets have soared after the European Union and International Monetary Fund intervened to stop the Greek debt crisis spreading.Wall Street closed 4% up, after a 5% rise on the main UK and German stock markets, and a 9% surge in France.The euro also saw initial gains against both the dollar and pound, but they were later erased.On Sunday, the EU and IMF agreed a 750bn euro ($975bn; £650bn) loan-guarantee deal.The size of the deal took markets by surprise.""This truly is overwhelming force, and should be more than sufficient to stabilise markets in the near term, prevent panic and contain the risk of contagion,"" said Mario Annunziata at UniCredit bank.BBC economics editor Stephanie Flanders added: ""If we are to take this package at face value, the rules of European Monetary Union have been fundamentally re-written.""The US Dow Jones index closed up 404 points at 10,785 in New York. In London, the FTSE 100 closed 264.4 points higher at 5,387, having reached 5,400 at one stage.Banking stocks led the rally in Europe. In London, shares in Barclays jumped 16.2%, while those in Royal Bank of Scotland, Lloyds Banking Group and Standard Chartered climbed more than 10%.In Paris, Societe Generale and Credit Agricole surged more than 20%, while in Frankfurt, Deutsche Bank and Commerzbank were up about 10%.The risk premium on some eurozone government bonds also fell sharply, as did the price of insuring them against default. For example, the interest rate on two-year Greek bonds fell immediately, from 18.1% to 4.9%.The EU agreement also paved the way for the European Central Bank to start buying government debt, which helped to reduce bond yields.Under the terms of the European loan-guarantee deal, the 16 members of the eurozone will have access to 440bn euros of loan guarantees and 60bn euros of emergency European Commission funding. In addition, the International Monetary Fund (IMF) will also contribute up to 250bn euros.The deal is designed to stop Greece's debt crisis spreading to other European countries with high budget deficits, such as Portugal and Spain.Concerns that other countries will be engulfed in the crisis have hit the euro and global shares in recent weeks.""Default risk has been quashed and the market reaction has been euphoric,"" said Jane Foley, research director at Forex.com.But the BBC's economics editor warned that there were still some important questions to be answered, especially about the special purpose vehicle being set up to oversee the 440bn euros being provided by eurozone countries.She said: ""We don't know much about how this special vehicle would work... But if there's any lesson of the past few months it is they[eurozone countries] need to sort it out, fast. ""Investors are going to have plenty of questions about how the vehicle would work.""There were also concerns among investors that the package does nothing to address the fundamental problems of high debt levels in many European countries. Those doubts were reflected in a mixed day of trading for the euro. The single currency initially reacted postively, rising sharply against both the dollar and pound. But later trading saw those early gains slowly erase, with the euro trading at $1.2783, and a pound buying 1.1626 euros after the European markets closed - near to its starting point on Monday. The pound is still being affected by uncertainty over which parties will form the next UK government.It fell by a cent against the dollar to $1.48650 immediately after Prime Minister Gordon Brown's announcement that talks had begun between the Liberal Democrats and Labour.Last week's UK general election failed to give any party a clear majority.The main concern is that a weak government will not be able to pass measures to reduce the UK's budget deficit quickly.The pound fell sharply against the dollar on Thursday - the day of the general election - and Friday. It also fell heavily against the euro at the end of last week.The price of oil jumped on news of the EU deal, and the Opec oil producers' cartel said there was a chance of prices rising even further.US light, crude oil rose by $2.30 to $77.41 a barrel, while Brent crude climbed $2.58 to $81.50 a barrel, before falling back slightly.""I think the market will look positively at this development,"" the Reuters news agency reported Opec Secretary-General Abdullah al-Badri as saying.""I assume prices would go back to normal, where it was... back up to $80-plus.""",Shares and oil prices surge after EU loan deal,Business,Global stock markets jump after Europe agrees measures to try to stop the Greek debt crisis affecting other countries.,BBC News
"A drink driver who left a mother in an unconscious state for six months has been jailed for a year.Carey Last, 52, from Kingsdown, Wiltshire, was injured in a crash in the village in March. Swindon Crown Court heard that Gregory Kinsella, 29, of Pewsey, was more than twice over the drink-drive limit when his Range Rover hit Ms Last's car.Judge Euan Ambrose told him: ""Quite simply you shouldn't have been behind the wheel that morning.""Overshot junctionThe court heard that Irish-born Kinsella had been drinking the night before the accident and was rushing to get to work.His vehicle overtook a school bus in a narrow lane outside Kingsdown Golf Club, near Box, before overshooting a T-junction and hitting Ms Last's Toyota Avensis, injuring her and her two sons.Ms Last suffered serious head injuries and the court heard she still has not fully regained consciousness. She is currently being treated in the Royal National Hospital for Rheumatic Diseases in Bath, which has a unit specialising in rehabilitating brain injured people.Her sons Andrew Gay, who was 15 at the time of the crash, and Ryan Gay, 13, also suffered serious injuries but have since largely recovered.Mrs Last was taking the boys to school in Corsham when the accident occurred.Paramedics called to the scene said they had never come across a scene of such devastation.Kinsella, an event rider, admitted dangerous driving and driving with excess alcohol.His solicitor told the court that his client was ""full of remorse"" for the crash on 30 March.",Drink-drive man jailed over crash in Wiltshire,Wiltshire,A man is jailed for causing a car crash which left a mother in an unconscious state for months.,BBC News
"It may not look like much now, but this in-need-of-attention property is set to be a holiday let for history fans.The Landmark Trust has funding for Llwyn Celyn farmhouse in Monmouthshire, with the aim of restoring its 500-plus years of architectural legacy.The Grade 1 Listed medieval hall house is considered the most significant inhabited ""at risk"" building in Wales. Welsh heritage body Cadw and the National Heritage Memorial Fund (NHMF) gave grants totalling £670,000.Thought to date from around 1480, the property is said to represent key developments in Welsh architecture between the 15th and 18th Centuries and a textbook example of the development of the British manor house. Largely untouched for the past century, the house is in more than six acres (2.6 hectares) of ground, near Llanvihangel Crucorney in the Llanthony Valley, and still has smoke-blackened roofs from its early years - the chimneys and floors were added in the 17th Century.Jennifer Stewart, of the NHMF, said the aim of the work was to ""build up the story and the story book of who lived in the property at different stages"".She said: ""Because it has been in private hands for 100 years, we really don't know that much about it.""Unlike modern houses, we don't know what is behind the panelling. We want to see what this house is like inside and what it was like to live in this house. There's a huge amount to be discovered there.""However, it is thought that the original owner must have been someone of considerable status and wealth and there is possibly a connection with Llanthony Priory which is situated less than six miles away.The Landmark Trust is to begin fundraising for the restoration and the house, which sits within the Brecon Beacons National Park, will be available for rent as holiday accommodation.Ms Stewart added: ""Often the way to preserve [buildings like this] is to find them a use. This is an other way to find a modern use for an ancient building. ""This is helping the building to ""breathe"" if you like. If people have enjoyed their stay, they may well provide additional funds.""Peter Pearce, director of the Landmark Trust, said: ""The importance of Llwyn Celyn in helping us understand the development of high status Welsh houses more fully cannot be understated.""",Historic farmhouse Llwyn Celyn to be holiday let,South East Wales,"A Grade 1 Listed medieval hall house, considered the most significant inhabited ""at risk"" building in Wales, is bought by a heritage body.",BBC News
"Two 18-year-olds have died following a suspected carbon monoxide leak in Castlerock, County Londonderry.  Another boy was taken from the holiday apartment at Tunnel Brae Court to the Causeway Hospital in Coleraine where he is said to be in a stable condition. It is thought a relative of one of the young men raised the alarm at about 2130 BST on Tuesday after phoning him. The boys who died were Aaron Davidson, of Fernagh Road, and Neil McFerran, of Kings Walk, both in Newtownabbey. It is understood that Aaron was awaiting his A-level results and Neil his A/S-level results.Health and safety officials have been checking gas appliances inside the flat to trace a leak, and the apartment block has been evacuated while tests continue. John McPoland from the Ambulance Service said: ""All the signs and symptoms were that it was carbon monoxide poisoning. ""When the Fire Service arrived, they used some of their equipment and they confirmed to the paramedics that there were high levels of carbon monoxide in the room.""Mr McPoland said it was too soon to determine the source of the carbon monoxide. ""The thing about carbon monoxide poisoning is that the carbon monoxide itself is odourless, colourless, tasteless so it's a silent killer,"" he said. ""You wouldn't know what's actually happening. You would just become very tired, weak and disorientated.""On Wednesday, the headmaster of the teenagers' school, Glengormley High, said they were role models for fellow pupils.Principal Lex Hayes said: ""Both boys had displayed exceptional talents in their careers here and were popular and valued by both students and staff.  ""Aaron and Neil were both prefects and acted as role models for younger pupils. They will be sadly missed by all who knew them in school.""Neil McFerran was a pupil at Monkstown Community School for five years, before changing schools to complete his A-levels. Andy Conn, one of his teachers, said his death had left the school ""stunned"".""He would have been in the school plays, involved in the youth club. ""He would have been a really popular, lively, well thought of boy,"" Mr Conn said.The Mayor of Newtownabbey, Alderman Paula Bradley, said she was ""devastated"" to hear of the teenagers' deaths.""As a mother of an 18-year-old son, it is all the more hard-hitting,"" she said. In the UK, about 50 people die each year in their homes from accidental carbon monoxide poisoning.",Carbon monoxide suspected as two teenagers found dead,Northern Ireland,"An investigation begins after two 18-year-old boys, Neil McFerran and Aaron Davidson, died from suspected carbon monoxide poisoning at a holiday flat.",BBC News
"Fewer children are learning to play a musical instrument than in their parents' generation, a survey suggests.One third of children play a musical instrument compared with two thirds of their parents at the same age, research for BBC Worldwide found.And just 44% of the 1,046 parents questioned said it was important for their child to be involved in music.However, other figures suggest the number of pupils learning instruments has risen over the past decade.The most popular instruments for children are the guitar, the keyboard and the recorder.Boys are most likely to learn the guitar (17%), the keyboard (8%) and the drums (7%), while girls are more likely to choose the recorder (11%), followed by the guitar, piano and keyboard (all 9%).The survey, of 1,046 parents with children aged 18 and under, was carried out for BBC Worldwide.It found 64% of children did not play a musical instrument.Among the parents themselves, 34% said they had not played an instrument as a child.The eldest child in a family is the most likely to play an instrument, the research suggests.The UK survey, carried out by ICM, was commissioned in connection with the BBC TV children's music show Zingzillas.Stephanie Cooper, editor of Zingzillas magazine, said: ""As this research shows, fewer children are now learning musical instruments and parents may not be aware of just how beneficial music can be to a child's development.""Young children love responding to music by dancing, singing, creating pictures or talking about what they hear, which gives them creative confidence.""Hearing musical rhythms, patterns and sounds is beneficial for early literacy learning."" Fiona Harvey, education consultant for the Association of British Orchestras, said: ""I find it surprising that these results have come about.""Other research about children learning instruments has suggested that at least 50% of children have learned or are currently learning an instrument.""Opportunities are out there. Perhaps if they [the children in the survey] had an opportunity to learn, they might not have continued. Also, there are lots of informal ways of learning music.""A study by the Institute of Education carried out in England in 2005 found just over 8% of pupils between the ages of five and 16 were learning an instrument in state schools.Among juniors (aged seven to 11) 13% were receiving tuition, researchers found.  Numbers had risen since the early 80s, they said.In 2004, the then Labour government launched a ""music manifesto"", which included the pledge to give every child in England the chance of free or cut-price instrument tuition. A scheme called Wider Opportunities was rolled out in 6,500 schools in England, Wales and Northern Ireland which involved children learning to play instruments as a class for free. Fiona Harvey said this had been a ""fantastic initiative"". According to figures provided by the Federation of Music Services, the number of pupils learning an instrument has risen from less than half a million in 2002 to a predicted 2.1m next year.The statistics on musical tuition in independent schools were higher, she added.ICM Research polled 1,046 parents of children aged 18 and under online between 25-30 August.","Music tuition falling, poll suggests",Education & Family,"Fewer children are learning to play a musical instrument than in their parents' generation, a survey suggests.",BBC News
"A man has been prosecuted for claiming disability benefits while working as a member of a North Sea lifeboat crew. Mason Bentley, 34, of Thornton-le-Dale, Pickering, was with the Flamborough Lifeboat for a year from October 2006.He received a top RNLI bravery award for rescuing a swimmer in bad weather, Bridlington magistrates heard.But Bentley admitted he was claiming Disability Living Allowance at the same time. Last Friday, he was ordered to repay false benefit claims of £9,942. Magistrates also gave him a six-month curfew order, between 10pm and 10am, and ordered him to pay costs of £70.Bentley, also known as Alistair Docherty, formerly of Ogle Road, Flamborough, pleaded guilty on 3 September to failing to notify a change of circumstances affecting his entitlement to benefits. He admitted claiming disability living allowance between 6 December 2006 and 14 April 2009.In 2008, he was among a three-man crew which was given the RNLI's top award for the most daring rescue of the year. The mission on 22 August 2007 involved rescuing a swimmer in ""dreadful conditions"" close to rocks off Flamborough Head.Commenting on the conviction, an RNLI spokesman said: ""Alistair Docherty, as he was known to the RNLI, was a volunteer crew member at Flamborough for only a year and we have had no contact with him for two years. ""The RNLI co-operated fully with the Department for Work and Pensions to help with them with their investigation.""Minister for welfare reform Lord Freud said: ""It's cases like these that show us why welfare reform is needed.""We have a duty to the taxpayer and our customers to make sure that these vital benefits only go to those who need them.""Benefit fraud takes money away from the most vulnerable.""",Lifeboatman in false disability benefit fraud claim,England,"A lifeboat crew member who won a bravery award for a daring rescue was claiming disability benefit at the same time, a court is told.",BBC News
